

2021-07-18 17:38:17.981073

2021-07-18 17:41:03.295633Fold=0, Epoch=0, Valid Dice=0.00024185025522339867


2021-07-18 19:56:22.129857Fold=0, Epoch=0, Valid Dice=0.0
Fold=0, Epoch=1, Valid Dice=0.0
Fold=0, Epoch=2, Valid Dice=0.0
Fold=0, Epoch=3, Valid Dice=0.2084932921321884
Fold=0, Epoch=4, Valid Dice=0.17008532768053305
Fold=0, Epoch=5, Valid Dice=0.07156215964801861
Fold=0, Epoch=6, Valid Dice=0.5640200158870979
Fold=0, Epoch=7, Valid Dice=0.46382995565322443
Fold=0, Epoch=8, Valid Dice=0.41048336490632636
